action,technique_id,stakeholder_id,capability,note
detect,dga-domains,registrars,yes,"eSLDs only, w/ analysis at point of creation and during the lifetime of the domains"
detect,dga-domains,registries,yes,eSLDs only
detect,dga-domains,authoritative-operators,yes,"eSLDs only, w/ analysis of customer domains"
detect,dga-domains,domain-name-resellers,yes,eSLDs only
detect,dga-domains,recursive-operators,yes,Logs/ Passive DNS logging & analysis
detect,dga-domains,network-operators,no,
detect,dga-domains,application-service-provider,yes,
detect,dga-domains,hosting-provider,no,
detect,dga-domains,threat-intelligence-provider,yes,
detect,dga-domains,device-os-and-application-software-developers,no,
detect,dga-domains,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,dga-domains,end-user,no,
detect,dga-domains,law-enforcement-and-public-safety-authorities,yes,Can engage registries and/or PSWG GAC
detect,dga-domains,csirts,no,
detect,dga-domains,incident-responder-internal,yes,if outgoing queries logged
detect,domain-name-compromise,registrars,yes,
detect,domain-name-compromise,registries,yes,
detect,domain-name-compromise,authoritative-operators,no,
detect,domain-name-compromise,domain-name-resellers,yes,
detect,domain-name-compromise,recursive-operators,yes,DNS RPZ + threat intelligence feeds
detect,domain-name-compromise,network-operators,no,
detect,domain-name-compromise,application-service-provider,no,
detect,domain-name-compromise,hosting-provider,no,
detect,domain-name-compromise,threat-intelligence-provider,yes,
detect,domain-name-compromise,device-os-and-application-software-developers,no,
detect,domain-name-compromise,domain-registrants,yes,w/ proactive monitoring
detect,domain-name-compromise,end-user,no,
detect,domain-name-compromise,law-enforcement-and-public-safety-authorities,yes,
detect,domain-name-compromise,csirts,no,
detect,domain-name-compromise,incident-responder-internal,no,Assuming external domain
detect,lame-delegations,registrars,yes,
detect,lame-delegations,registries,yes,
detect,lame-delegations,authoritative-operators,yes,
detect,lame-delegations,domain-name-resellers,yes,
detect,lame-delegations,recursive-operators,yes,
detect,lame-delegations,network-operators,yes,
detect,lame-delegations,application-service-provider,yes,
detect,lame-delegations,hosting-provider,yes,
detect,lame-delegations,threat-intelligence-provider,yes,
detect,lame-delegations,device-os-and-application-software-developers,yes,
detect,lame-delegations,domain-registrants,yes,w/ proactive monitoring
detect,lame-delegations,end-user,yes,
detect,lame-delegations,law-enforcement-and-public-safety-authorities,yes,
detect,lame-delegations,csirts,yes,
detect,lame-delegations,incident-responder-internal,yes,without historical delegation info
detect,dns-cache-poisoning,registrars,no,
detect,dns-cache-poisoning,registries,no,
detect,dns-cache-poisoning,authoritative-operators,no,
detect,dns-cache-poisoning,domain-name-resellers,no,
detect,dns-cache-poisoning,recursive-operators,yes,Validating DNSSEC at the recursive and enabling extended errors - RFC 8914
detect,dns-cache-poisoning,network-operators,yes,"Flow analysis - NetFlow, Zeek"
detect,dns-cache-poisoning,application-service-provider,no,
detect,dns-cache-poisoning,hosting-provider,no,
detect,dns-cache-poisoning,threat-intelligence-provider,yes,
detect,dns-cache-poisoning,device-os-and-application-software-developers,no,
detect,dns-cache-poisoning,domain-registrants,yes,w/ proactive monitoring
detect,dns-cache-poisoning,end-user,no,
detect,dns-cache-poisoning,law-enforcement-and-public-safety-authorities,no,
detect,dns-cache-poisoning,csirts,no,
detect,dns-cache-poisoning,incident-responder-internal,no,Assuming external resolver is poisoned
detect,dns-rebinding,registrars,no,
detect,dns-rebinding,registries,no,
detect,dns-rebinding,authoritative-operators,no,
detect,dns-rebinding,domain-name-resellers,no,
detect,dns-rebinding,recursive-operators,yes,pDNS analysis - DNS responses varying from public to RFC 1918
detect,dns-rebinding,network-operators,yes,"Flow analysis - NetFlow, Zeek"
detect,dns-rebinding,application-service-provider,no,
detect,dns-rebinding,hosting-provider,no,
detect,dns-rebinding,threat-intelligence-provider,yes,
