stakeholder_id,label,description
registrars,Registrars,an organization that allows registration of domains under a TLD - https://www.icann.org/en/icann-acronyms-and-terms/registrar-en
registries,Registries,organizations responsible for maintaining the database of domains for a TLD - https://www.icann.org/en/icann-acronyms-and-terms/registry-en
authoritative-operators,Authoritative Operators,"https://www.icann.org/en/icann-acronyms-and-terms/authoritative-name-server-en. In the context of this document, mitigation and prevention refers to the primary authoritative server."
domain-name-resellers,Domain name resellers,https://www.icann.org/resources/pages/reseller-2013-05-03-en
recursive-operators,Recursive Operators,Organizations operating either a private or public recursive resolver
network-operators,Network Operators,"Organizations operating an autonomous system (AS). We assume an organization with this capability is not running a recursive DNS server. This column means netflow and BGP data, and excludes (as a matter of a clarity choice here) passive DNS."
application-service-provider,Application Service Provider,"Software as a Service provider (like Google Docs), see https://www.iso.org/obp/ui/#iso:std:iso-iec:17788:ed-1:v1:en for SaaS definition."
hosting-provider,Hosting Provider,"A company that provides Internet hosting services. ""An Internet hosting service is a service that runs servers connected to the Internet, allowing organizations and individuals to serve content or host services connected to the Internet."" See details: https://en.wikipedia.org/wiki/Internet_hosting_service"
threat-intelligence-provider,Threat Intelligence Provider,"Threat intelligence providers aggregate, transform, analyze, interpret, or enrich intelligence to provide the necessary context for decision-making processes. CTI is considered as sharing and analysis only."
device-os-and-application-software-developers,"Device, OS, & Application Software Developers",Software developers who write the code or develop DNS resolver software or are responsible for updating an imported DNS resolver version in their software project.
domain-registrants,Domain Registrants,"“an individual or entity who registers a domain name” https://www.icann.org/en/icann-acronyms-and-terms/registrant-en. In the case of the malicious registration rows, this stakeholder is modeled as the actual human who made the malicious registration."
end-user,End User,Everyone who uses the Internet (who is not performing one of the other stakeholder capabilities listed).
law-enforcement-and-public-safety-authorities,Law Enforcement and Public Safety Authorities,Government organizations with authority to enforce laws or act in the public interest. Such organizations typically become aware of an issue because of:
csirts,CSIRTs,"Computer Security Incident Response Teams. A Computer Security Incident Response Team is an organizational unit (which may be virtual) or a capability that provides services and support to a defined constituency for preventing, detecting, handling, and responding to computer security incidents, in accordance with its mission. (Taken from the Computer Security Incident Response Team (CSIRT) Services Framework v2.1) Each CSIRT can also be an end user of services, a registrant, threat intel provider, etc. When the CSIRT (organization) is performing those stakeholder capabilities, use respective columns. This column models exclusively the capability of the team."
incident-responder-internal,Incident responder (internal),The Computer Security Incident Response Team that is internal to the impacted organization.
